Order_ID,Order_Date,City,Area,Outlet_ID,Outlet_Name,Outlet_Location,Outlet_Size,Category,Brand,MRP,Discount_%,Selling_Price,Quantity,Sales,Cost,Profit,Payment_Mode,Delivery_Time_Minutes,Rating
ORD0001,18-05-2026,Mumbai,Santacruz,OUT006,Blinkit Santacruz,Tier 1,Small,Household,Amul,127,20,101.6,1,101.6,67.51,34.09,Cash,8,3.9
ORD0002,16-01-2026,Mumbai,Powai,OUT007,Blinkit Powai,Tier 1,High,Dairy,Britannia,85,10,76.5,2,153,116.31,36.69,UPI,30,4.5
ORD0003,06-02-2026,Mumbai,Andheri East,OUT001,Blinkit Andheri East,Tier 1,High,Dairy,Parle,163,5,154.85,3,464.55,328.87,135.68,Cash,10,4.5
ORD0004,08-06-2026,Mumbai,Goregaon,OUT004,Blinkit Goregaon,Tier 1,Small,Frozen Foods,Aashirvaad,240,5,228,2,456,347.87,108.13,Credit Card,25,4.5
ORD0005,28-06-2026,Mumbai,Bandra,OUT008,Blinkit Bandra,Tier 1,Small,Dairy,Parle,235,15,199.75,4,799,646.29,152.71,Debit Card,20,4.7
ORD0006,12-02-2026,Mumbai,Vile Parle,OUT005,Blinkit Vile Parle,Tier 1,Medium,Snacks,MDH,361,5,342.95,2,685.9,516.06,169.84,Debit Card,8,5
ORD0007,31-03-2026,Mumbai,Andheri West,OUT002,Blinkit Andheri West,Tier 1,High,Frozen Foods,MDH,441,25,330.75,6,1984.5,1424.92,559.58,UPI,10,4.9
ORD0008,21-03-2026,Mumbai,Bandra,OUT008,Blinkit Bandra,Tier 1,High,Frozen Foods,Parle,406,5,385.7,1,385.7,307.11,78.59,Debit Card,35,4.2
ORD0009,25-02-2026,Mumbai,Bandra,OUT008,Blinkit Bandra,Tier 1,Medium,Snacks,Britannia,231,10,207.9,2,415.8,311.33,104.47,Debit Card,22,4.9
ORD0010,13-03-2026,Mumbai,Bandra,OUT008,Blinkit Bandra,Tier 1,Small,Bakery,Parle,91,10,81.9,8,655.2,478.51,176.69,Debit Card,20,4.6
ORD0011,01-03-2026,Mumbai,Powai,OUT007,Blinkit Powai,Tier 1,High,Beverages,Amul,168,10,151.2,2,302.4,207.22,95.18,Debit Card,30,4
